Check DateTime,IP, Return Time
20180826 100606,192.168.0.2,1000
20180826 100606,192.168.0.1,1000
20180826 100606,www.google.com,101
20180826 100606,192.168.0.2,1000
20180826 100606,192.168.0.1,1000
20180826 100606,www.google.com,101
20180826 100608,192.168.0.4,0
20180826 100610,192.168.0.3,0
20180826 100610,www.naver.com,0
20180826 100616,192.168.0.2,1000
20180826 100616,192.168.0.1,1000
20180826 100616,www.google.com,127
20180826 100606,192.168.0.2,1000
20180826 100606,192.168.0.1,1000
20180826 100606,www.google.com,101
20180826 100608,192.168.0.4,0
20180826 100610,192.168.0.3,0
20180826 100610,www.naver.com,0
20180826 100616,192.168.0.2,1000
20180826 100616,192.168.0.1,1000
20180826 100616,www.google.com,127
20180826 100618,192.168.0.4,0
20180826 100620,192.168.0.3,0
20180826 100620,www.naver.com,0
20180826 100626,192.168.0.1,1000
20180826 100626,192.168.0.2,1000
20180826 100626,www.google.com,106
20180826 100606,192.168.0.2,1000
20180826 100606,192.168.0.1,1000
20180826 100606,www.google.com,101
20180826 100608,192.168.0.4,0
20180826 100610,192.168.0.3,0
20180826 100610,www.naver.com,0
20180826 100616,192.168.0.2,1000
20180826 100616,192.168.0.1,1000
20180826 100616,www.google.com,127
20180826 100618,192.168.0.4,0
20180826 100620,192.168.0.3,0
20180826 100620,www.naver.com,0
20180826 100626,192.168.0.1,1000
20180826 100626,192.168.0.2,1000
20180826 100626,www.google.com,106
20180826 100628,192.168.0.4,0
20180826 100630,192.168.0.3,0
20180826 100630,www.naver.com,0
20180826 100636,192.168.0.2,1000
20180826 100636,192.168.0.1,1000
20180826 100636,www.google.com,92
20180826 100606,192.168.0.2,1000
20180826 100606,192.168.0.1,1000
20180826 100606,www.google.com,101
20180826 100608,192.168.0.4,0
20180826 100610,192.168.0.3,0
20180826 100610,www.naver.com,0
20180826 100616,192.168.0.2,1000
20180826 100616,192.168.0.1,1000
20180826 100616,www.google.com,127
20180826 100618,192.168.0.4,0
20180826 100620,192.168.0.3,0
20180826 100620,www.naver.com,0
20180826 100626,192.168.0.1,1000
20180826 100626,192.168.0.2,1000
20180826 100626,www.google.com,106
20180826 100628,192.168.0.4,0
20180826 100630,192.168.0.3,0
20180826 100630,www.naver.com,0
20180826 100636,192.168.0.2,1000
20180826 100636,192.168.0.1,1000
20180826 100636,www.google.com,92
20180826 100638,192.168.0.4,0
20180826 100640,192.168.0.3,0
20180826 100640,www.naver.com,0
20180826 100646,192.168.0.1,1000
20180826 100646,192.168.0.2,1000
20180826 100646,www.google.com,113
